"cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","predicted_cell_type"
"0",0,2.11849855125106,0.244,0.095,0,"PDE4B","CD8+ T-cells"
"0",0,3.19256586624347,0.173,0.024,0,"CD4","CD8+ T-cells"
"0",0,2.54707250915395,0.212,0.064,0,"LINC-PINT","CD8+ T-cells"
"0",0,3.39217530811716,0.164,0.017,0,"NCKAP1L","CD8+ T-cells"
"0",0,1.01189542943517,0.363,0.216,0,"IFI16","CD8+ T-cells"
"0",0,2.39295939578595,0.238,0.091,0,"ZNF331","CD8+ T-cells"
"0",0,3.184146054762,0.165,0.019,0,"PTPN22","CD8+ T-cells"
"0",0,2.66045790206308,0.192,0.046,0,"PARP8","CD8+ T-cells"
"0",0,1.58475096746873,0.326,0.18,0,"TAP1","CD8+ T-cells"
"0",0,2.95139456094322,0.171,0.025,0,"EVI2A","CD8+ T-cells"
"0",0,2.94844231833218,0.173,0.027,0,"GPRIN3","CD8+ T-cells"
"0",0,3.0743629127465,0.169,0.024,0,"SPN","CD8+ T-cells"
"0",0,2.65952341833933,0.191,0.046,0,"NFATC2","CD8+ T-cells"
"0",0,0.480818727960886,0.508,0.364,0,"ALDOA","CD8+ T-cells"
"0",0,1.61759672257927,0.329,0.186,0,"EML4","CD8+ T-cells"
"0",0,2.78839481974039,0.18,0.037,0,"PAG1","CD8+ T-cells"
"0",0,3.0013281716716,0.169,0.027,0,"MYO1F","CD8+ T-cells"
"0",0,3.2798637219877,0.16,0.019,0,"ITGAL","CD8+ T-cells"
"0",0,2.73223631345684,0.186,0.045,0,"FLT3LG","CD8+ T-cells"
"0",0,1.74814544319811,0.322,0.182,0,"PPP2R5C","CD8+ T-cells"
"0",0,2.95351467952945,0.171,0.031,0,"JAK3","CD8+ T-cells"
"0",0,2.49290483718538,0.197,0.058,0,"RUNX3","CD8+ T-cells"
"0",0,1.42480840677362,0.367,0.228,0,"SP100","CD8+ T-cells"
"0",0,3.46148810740354,0.153,0.015,0,"SCML4","CD8+ T-cells"
"0",0,0.622757311487357,0.317,0.455,0,"CTSB","CD8+ T-cells"
"0",0,3.30289181032239,0.155,0.017,0,"ITGB7","CD8+ T-cells"
"0",0,2.52993714667847,0.18,0.042,0,"SEMA4D","CD8+ T-cells"
"0",0,1.87225229722917,0.25,0.113,0,"BTN3A2","CD8+ T-cells"
"0",0,1.42209973906282,0.9,0.763,0,"HLA-C","CD8+ T-cells"
"0",0,3.47729766954372,0.152,0.015,0,"SIRPG","CD8+ T-cells"
"0",0,3.2842615262658,0.152,0.016,0,"SP140","CD8+ T-cells"
"0",0,1.85244913305493,0.216,0.08,0,"EPSTI1","CD8+ T-cells"
"0",0,1.87230401745653,0.235,0.1,0,"SAMHD1","CD8+ T-cells"
"0",0,0.849101285051645,0.677,0.544,0,"ZFP36","CD8+ T-cells"
"0",0,2.13823362332719,0.212,0.08,0,"SMAP2","CD8+ T-cells"
"0",0,3.08968249435259,0.15,0.018,0,"PYHIN1","CD8+ T-cells"
"0",0,1.9874632361078,0.206,0.074,0,"APOBEC3C","CD8+ T-cells"
"0",0,3.25917022463412,0.149,0.017,0,"PARVG","CD8+ T-cells"
"0",0,1.22711734721471,0.299,0.167,0,"SH3KBP1","CD8+ T-cells"
"0",0,2.58577431460731,0.174,0.042,0,"SH3BP1","CD8+ T-cells"
"0",0,2.74554247377326,0.159,0.029,0,"DOCK10","CD8+ T-cells"
"0",0,3.23392131070432,0.145,0.016,0,"STAT4","CD8+ T-cells"
"0",0,1.76288743075936,0.233,0.104,0,"TGFB1","CD8+ T-cells"
"0",0,3.43947767538525,0.143,0.014,0,"ICOS","CD8+ T-cells"
"0",0,2.39787780757351,0.405,0.277,0,"HLA-DRA","CD8+ T-cells"
"0",0,2.95082561549472,0.154,0.026,0,"BCL11B","CD8+ T-cells"
"0",0,3.41891153123069,0.141,0.013,0,"LINC00861","CD8+ T-cells"
"0",0,3.30600119364258,0.142,0.014,0,"JAML","CD8+ T-cells"
"0",0,3.33864299067356,0.151,0.024,0,"AIF1","CD8+ T-cells"
"0",0,1.25439399301103,0.411,0.284,0,"PSMB8","CD8+ T-cells"
"0",0,1.0878123143557,0.61,0.484,0,"PNRC1","CD8+ T-cells"
"0",0,1.29929643505141,0.407,0.281,0,"RGS10","CD8+ T-cells"
"0",0,3.50269521801026,0.138,0.013,0,"DOCK2","CD8+ T-cells"
"0",0,2.21794510644407,0.19,0.065,0,"PSMB8-AS1","CD8+ T-cells"
"0",0,1.16308735901768,0.287,0.162,0,"ATP6V0C","CD8+ T-cells"
"0",0,2.15970214899506,0.278,0.154,0,"CREM","CD8+ T-cells"
"0",0,2.95395168180042,0.148,0.024,0,"INPP5D","CD8+ T-cells"
"0",0,3.00758178567157,0.147,0.023,0,"MYO1G","CD8+ T-cells"
"0",0,2.4517582830222,0.165,0.041,0,"FLI1","CD8+ T-cells"
"0",0,1.8509292255353,0.253,0.129,0,"SUN2","CD8+ T-cells"
"0",0,3.34584635066185,0.137,0.014,0,"C1ORF162","CD8+ T-cells"
"0",0,1.63378103435775,0.257,0.134,0,"TNFRSF14","CD8+ T-cells"
"0",0,1.77226228909993,0.209,0.086,0,"CCND2","CD8+ T-cells"
"0",0,0.202025770114991,0.289,0.412,0,"FAM177A1","CD8+ T-cells"
"0",0,3.30972648044072,0.153,0.03,0,"CCL4L2","CD8+ T-cells"
"0",0,1.8963732946925,0.197,0.075,0,"VSIR","CD8+ T-cells"
"0",0,2.11681446346779,0.203,0.081,0,"RGS19","CD8+ T-cells"
"0",0,2.82899298308519,0.152,0.03,0,"SYTL3","CD8+ T-cells"
"0",0,2.98845615793867,0.144,0.023,0,"KCNAB2","CD8+ T-cells"
"0",0,1.73118395845333,0.357,0.236,0,"NR4A2","CD8+ T-cells"
"0",0,3.39502878559599,0.133,0.013,0,"LY9","CD8+ T-cells"
"0",0,2.45218365895673,0.163,0.043,0,"CYFIP2","CD8+ T-cells"
"0",0,0.156378021742124,0.36,0.48,0,"HSPD1","CD8+ T-cells"
"0",0,2.15061898591467,0.183,0.063,0,"CASP1","CD8+ T-cells"
"0",0,1.86056801546044,0.227,0.108,0,"TMC6","CD8+ T-cells"
"0",0,3.45194833432732,0.133,0.014,0,"MAP4K1","CD8+ T-cells"
"0",0,2.96547203169318,0.141,0.022,0,"RIPOR2","CD8+ T-cells"
